,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.8507462686567164,0.7142857142857143,0.625,0.6666666666666666,0.8769914215686274,32,39,0.8205128205128205,518,594,0.8720538720538721,3,5,10,10,1,0
tree generator (disc),0.7761194029850746,0.525,0.65625,0.5833333333333334,0.8125,33,39,0.8461538461538461,510,594,0.8585858585858586,3,5,10,10,1,0
RuleFit Classifier (conti),0.7611940298507462,0.5,0.65625,0.5675675675675675,0.8189338235294117,34,39,0.8717948717948718,514,594,0.8653198653198653,3,5,10,10,1,0
tree generator (conti),0.835820895522388,0.6470588235294118,0.6875,0.6666666666666667,0.8613664215686274,34,39,0.8717948717948718,518,594,0.8720538720538721,3,5,10,10,1,0
linear svm (L),0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.15073529411764705,24,39,0.6153846153846154,478,594,0.8047138047138047,3,5,10,10,1,0
non-linear svm (L),0.7388059701492538,0.4745762711864407,0.875,0.6153846153846153,0.882046568627451,22,39,0.5641025641025641,146,594,0.24579124579124578,3,5,10,10,1,0
logistic regression (L),0.835820895522388,0.6666666666666666,0.625,0.6451612903225806,0.8875612745098039,16,39,0.41025641025641024,79,594,0.132996632996633,3,5,10,10,1,0
linear svm,0.8582089552238806,0.7096774193548387,0.6875,0.6984126984126984,0.8985906862745099,33,39,0.8461538461538461,517,594,0.8703703703703703,3,5,10,10,1,0
non-linear svm,0.835820895522388,0.7272727272727273,0.5,0.5925925925925926,0.9019607843137255,37,39,0.9487179487179487,534,594,0.898989898989899,3,5,10,10,1,0
logistic regression,0.8432835820895522,0.6896551724137931,0.625,0.6557377049180328,0.9031862745098039,34,39,0.8717948717948718,520,594,0.8754208754208754,3,5,10,10,1,0
rule_based_prediction,0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.5,24,39,0.6153846153846154,478,594,0.8047138047138047,3,5,10,10,1,0
