accuracy
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF,l-SVM-p,r-SVM-p,LogReg-p
0.1,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7402985074626866,0.7417910447761195,0.782089552238806,0.4567164179104477,0.7328358208955223,0.7671641791044777
1.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7402985074626866,0.7417910447761195,0.782089552238806,0.4477611940298507,0.6985074626865673,0.7671641791044777
5.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7402985074626866,0.7417910447761195,0.782089552238806,0.4477611940298507,0.7104477611940299,0.7671641791044777
15.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7402985074626866,0.7417910447761195,0.782089552238806,0.391044776119403,0.7014925373134329,0.7716417910447763
50.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7402985074626866,0.7417910447761195,0.782089552238806,0.4880597014925373,0.7253731343283583,0.7761194029850745
100.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7402985074626866,0.7417910447761195,0.782089552238806,0.6014925373134329,0.7149253731343285,0.7671641791044775
1000.0,0.7791044776119402,0.7805970149253731,0.7820895522388059,0.7835820895522388,0.7402985074626866,0.7417910447761195,0.782089552238806,0.5447761194029852,0.655223880597015,0.7686567164179104

precision
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF,l-SVM-p,r-SVM-p,LogReg-p
0.1,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.6152075520496573,0.627843137254902,0.7151582081225442,0.3956293348851108,0.5655409528988791,0.7108309644460923
1.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.6152075520496573,0.627843137254902,0.7151582081225442,0.3846459665955934,0.5324716291241715,0.7108309644460923
5.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.6152075520496573,0.627843137254902,0.7151582081225442,0.3888921448042659,0.5462065055400764,0.7108309644460923
15.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.6152075520496573,0.627843137254902,0.7151582081225442,0.3595735607675906,0.5310806650246305,0.7250981396142686
50.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.6152075520496573,0.627843137254902,0.7151582081225442,0.4027538261770328,0.5530423074033621,0.7557728412567122
100.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.6152075520496573,0.627843137254902,0.7151582081225442,0.4557365553186449,0.5536289394985048,0.7366507936507936
1000.0,0.711435632415234,0.7590702845541555,0.7311434000741563,0.742431080228633,0.6152075520496573,0.627843137254902,0.7151582081225442,0.429542457205498,0.4883769324240593,0.7451832032701597

recall
,l-SVM,r-SVM,LogReg,RuleFit-d,RuleFit,RF-d,RF,l-SVM-p,r-SVM-p,LogReg-p
0.1,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.5500621396906251,0.5577058686985013,0.5681060663269597,0.9110389610389612,0.7717146306844999,0.4960755347467387
1.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.5500621396906251,0.5577058686985013,0.5681060663269597,0.915217391304348,0.7904646306844999,0.4960755347467387
5.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.5500621396906251,0.5577058686985013,0.5681060663269597,0.8788497217068645,0.7607709547951718,0.4960755347467387
15.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.5500621396906251,0.5577058686985013,0.5681060663269597,0.9565217391304348,0.7762489938368754,0.4960755347467387
50.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.5500621396906251,0.5577058686985013,0.5681060663269597,0.9188241106719368,0.7772343793711245,0.4813963119938077
100.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.5500621396906251,0.5577058686985013,0.5681060663269597,0.8122383439541825,0.7419955110965419,0.4619977122124604
1000.0,0.551175322959055,0.4797139493254202,0.5301646846611826,0.5212714040287716,0.5500621396906251,0.5577058686985013,0.5681060663269597,0.8785326086956522,0.757360362150074,0.4579160795593992

f1
