,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,4.0,4.4,0.8666666666666668,67.8,95.2,0.695723635668084,10,100,15,0.6
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,4.2,4.4,0.9666666666666668,70.8,95.2,0.7315540441129188,10,100,15,0.6
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,4.2,4.4,0.9666666666666668,69.6,95.2,0.7160674320320123,10,100,15,0.6
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8156656471488063,3.4,4.4,0.7833333333333333,65.8,95.2,0.677642352618149,10,100,15,0.6
RuleFit Classifier (conti),0.7402985074626866,0.6152075520496573,0.5500621396906251,0.5782952403757659,0.7983045454788467,4.4,4.4,1.0,70.6,95.2,0.7312014388876044,10,100,15,0.6
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,3.6,4.4,0.8833333333333332,68.8,95.2,0.7150863739454418,10,100,15,0.6
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,4.2,4.4,0.9666666666666668,70.0,95.2,0.7217547290243744,10,100,15,0.6
linear svm (L),0.6014925373134329,0.4557365553186449,0.8122383439541825,0.5748364070438834,0.6465733297969667,3.4,4.4,0.8416666666666668,33.2,95.2,0.33036096993318076,10,100,15,0.6
non-linear svm (L),0.7149253731343285,0.5536289394985048,0.7419955110965419,0.6219897256556799,0.8194032688963656,3.2,4.4,0.6416666666666667,13.0,95.2,0.1343862876900423,10,100,15,0.6
logistic regression (L),0.7671641791044775,0.7366507936507936,0.46199771221246044,0.5610059182071904,0.8301244997649622,3.0,4.4,0.6916666666666667,12.0,95.2,0.11805577841842796,10,100,15,0.6
rule_based_prediction,,,,,,,,,,,,10,100,15,0.6
