,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7611940298507462,0.7272727272727273,0.5106382978723404,0.5999999999999999,0.8043531425776472,33,33,1.0,1634,2022,0.80811078140455,4,5,10,10,15,0.2
tree generator (disc),0.7388059701492538,0.6764705882352942,0.48936170212765956,0.5679012345679013,0.7429689410613841,33,33,1.0,1627,2022,0.804648862512364,4,5,10,10,15,0.2
RuleFit Classifier (conti),0.7313432835820896,0.6486486486486487,0.5106382978723404,0.5714285714285715,0.817803864025434,33,33,1.0,1635,2022,0.8086053412462908,4,5,10,10,15,0.2
tree generator (conti),0.7611940298507462,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8640254340914649,33,33,1.0,1708,2022,0.8447082096933729,4,5,10,10,15,0.2
linear svm (L),0.7238805970149254,0.5641025641025641,0.9361702127659575,0.7040000000000001,0.8268525311812179,32,33,0.9696969696969697,837,2022,0.413946587537092,4,5,10,10,15,0.2
non-linear svm (L),0.7611940298507462,0.6119402985074627,0.8723404255319149,0.7192982456140352,0.8713621912448031,32,33,0.9696969696969697,856,2022,0.42334322453016815,4,5,10,10,15,0.2
logistic regression (L),0.6865671641791045,0.7272727272727273,0.1702127659574468,0.27586206896551724,0.8953289312790413,33,33,1.0,1156,2022,0.5717111770524234,4,5,10,10,15,0.2
linear svm,0.7686567164179104,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.8684274883834678,33,33,1.0,1670,2022,0.8259149357072205,4,5,10,10,15,0.2
non-linear svm,0.753731343283582,0.7692307692307693,0.425531914893617,0.547945205479452,0.8701393983859134,33,33,1.0,1770,2022,0.8753709198813057,4,5,10,10,15,0.2
logistic regression,0.7761194029850746,0.7741935483870968,0.5106382978723404,0.6153846153846153,0.871851308388359,33,33,1.0,1729,2022,0.8550939663699307,4,5,10,10,15,0.2
rule_based_prediction,0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.5,12,33,0.36363636363636365,800,2022,0.39564787339268054,4,5,10,10,15,0.2
