,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8281867588932806,33,39,0.8461538461538461,611,674,0.9065281899109793,2,5,10,1000,15,0
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,29,39,0.7435897435897436,605,674,0.8976261127596439,2,5,10,1000,15,0
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,31,39,0.7948717948717948,603,674,0.8946587537091988,2,5,10,1000,15,0
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,33,39,0.8461538461538461,614,674,0.9109792284866469,2,5,10,1000,15,0
linear svm (L),0.3358208955223881,0.3383458646616541,0.9782608695652174,0.5027932960893855,0.22900197628458502,28,39,0.717948717948718,574,674,0.8516320474777448,2,5,10,1000,15,0
non-linear svm (L),0.6343283582089553,0.4782608695652174,0.717391304347826,0.5739130434782609,0.7870553359683794,24,39,0.6153846153846154,198,674,0.29376854599406527,2,5,10,1000,15,0
logistic regression (L),0.6865671641791045,1.0,0.08695652173913043,0.16,0.7692687747035573,16,39,0.41025641025641024,93,674,0.13798219584569732,2,5,10,1000,15,0
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,33,39,0.8461538461538461,608,674,0.9020771513353115,2,5,10,1000,15,0
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.824604743083004,34,39,0.8717948717948718,611,674,0.9065281899109793,2,5,10,1000,15,0
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,33,39,0.8461538461538461,609,674,0.9035608308605341,2,5,10,1000,15,0
rule_based_prediction,0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.5,23,39,0.5897435897435898,569,674,0.844213649851632,2,5,10,1000,15,0
