,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,3.435112807463533,4.219004621945798,0.027190583433200192,61.41498188553018,61.38648059630069,0.012983186123939656,10,100,15,0
non-linear svm,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607772,4.560701700396552,4.219004621945798,0.04067928905689407,60.26773597871419,61.38648059630069,0.011593367455857812,10,100,15,0
logistic regression,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,3.646916505762094,4.219004621945798,0.026929250171662884,60.41522986797286,61.38648059630069,0.010458594652575344,10,100,15,0
RuleFit Classifier (disc),0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.05159549500091101,6.164414002968976,4.219004621945798,0.09150108655442615,66.20800555824047,61.38648059630069,0.021102519176476993,10,100,15,0
RuleFit Classifier (conti),0.040326137570466526,0.07650321449292066,0.064526972045359,0.03719415262004553,0.032516111599130475,4.159326868617084,4.219004621945798,0.0654929068374883,59.6657355607052,61.38648059630069,0.010165930188834462,10,100,15,0
tree generator (disc),0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,5.458937625582472,4.219004621945798,0.07533006887599811,68.11534335228738,61.38648059630069,0.02764707602570551,10,100,15,0
tree generator (conti),0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,4.159326868617084,4.219004621945798,0.04806982077549891,61.66279267110758,61.38648059630069,0.015405041131913213,10,100,15,0
linear svm (L),0.18735653901337818,0.11972374169970318,0.02854554864893347,0.114808895748131,0.23236234514207907,3.2863353450309964,4.219004621945798,0.03217224411754105,152.67874770248804,61.38648059630069,0.22147454746893994,10,100,15,0
non-linear svm (L),0.08350209391462311,0.14542044535881649,0.11851530975148573,0.08101042495923305,0.03927372262024452,5.449770637375485,4.219004621945798,0.10153518249375806,49.32849075331618,61.38648059630069,0.08042820697816531,10,100,15,0
logistic regression (L),0.06687333378274582,0.014846320188534788,0.1569805516396575,0.15341512361793477,0.03813214342373257,2.8635642126552705,4.219004621945798,0.06153524673674723,18.547236990991408,61.38648059630069,0.031060731576950024,10,100,15,0
rule_based_prediction,0.05022781692675773,0.05022781692675773,0.0,0.059802999417438836,0.0,3.6331804249169894,4.219004621945798,0.038752876084105464,60.646516800225214,61.38648059630069,0.035934285784322284,10,100,15,0
