,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.051304824671545936,6.324555320336759,4.847679857416329,0.08774304908622431,71.85262695267308,67.5151834774964,0.020730020576805428,10,10,15,1
tree generator (disc),0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,5.718391382198319,4.847679857416329,0.0748436295222629,72.7378855892856,67.5151834774964,0.025583957705026632,10,10,15,1
RuleFit Classifier (conti),0.04477611940298505,0.0847686068449345,0.05591239178251508,0.047969563648477376,0.03271865415667994,4.037325847637271,4.847679857416329,0.06847514487084942,64.36070229573322,67.5151834774964,0.008106781791786895,10,10,15,1
tree generator (conti),0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,4.159326868617084,4.847679857416329,0.04978955144147165,67.77536425575298,67.5151834774964,0.01533645411203215,10,10,15,1
linear svm (L),0.19154551913021586,0.10365560111302766,0.14846642303082194,0.0565882989715948,0.31675744333375866,5.176871642217914,4.847679857416329,0.11814776191503679,212.6245517338014,67.5151834774964,0.2963152421469372,10,10,15,1
non-linear svm (L),0.04760936688876588,0.023799510012481623,0.09716091978507696,0.0411106968605875,0.04585654267222243,5.540758070878027,4.847679857416329,0.11159387675291335,24.365959862069868,67.5151834774964,0.03719391149096806,10,10,15,1
logistic regression (L),0.047609366888765915,0.06114720740922548,0.07101982834654867,0.05607871529210064,0.05075216155421317,4.39317652729776,4.847679857416329,0.12368889119311924,23.49042358068496,67.5151834774964,0.03840070108134903,10,10,15,1
linear svm,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,3.577708763999663,4.847679857416329,0.036280107552639405,67.3832323356486,67.5151834774964,0.013314588804218461,10,10,15,1
non-linear svm,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607772,4.335896677735759,4.847679857416329,0.034498719088494126,65.16670929239866,67.5151834774964,0.010210533846757814,10,10,15,1
logistic regression,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,3.646916505762094,4.847679857416329,0.032039008770728246,66.17627973828688,67.5151834774964,0.010407676766552172,10,10,15,1
rule_based_prediction,0.05022781692675773,0.05022781692675773,0.0,0.059802999417438836,0.0,3.5637059362410923,4.847679857416329,0.0369685755313339,65.73431371817918,67.5151834774964,0.03516457406133288,10,10,15,1
