,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,2.7386127875258306,2.6076809620810595,0.21730674684008833,26.808580715882744,30.703420004944075,0.07401058620708052,10,10,5,0.6
non-linear svm,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607779,2.4899799195977463,2.6076809620810595,0.07453559924999296,27.12379029560581,30.703420004944075,0.07022255112721545,10,10,5,0.6
logistic regression,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,2.4899799195977463,2.6076809620810595,0.07453559924999296,27.3367883995176,30.703420004944075,0.07406076414449388,10,10,5,0.6
RuleFit Classifier (disc),0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.0505166524922045,1.949358868961793,2.6076809620810595,0.2173067468400883,25.80116276449571,30.703420004944075,0.07626837691537723,10,10,5,0.6
RuleFit Classifier (conti),0.040326137570466526,0.07650321449292066,0.064526972045359,0.03719415262004553,0.032516111599130475,2.6076809620810595,2.6076809620810595,0.0,27.254357449773057,30.703420004944075,0.0770467938712549,10,10,5,0.6
tree generator (disc),0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,1.6733200530681511,2.6076809620810595,0.16244657241348273,25.12369399590753,30.703420004944075,0.0855145413841788,10,10,5,0.6
tree generator (conti),0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,2.4899799195977463,2.6076809620810595,0.07453559924999296,27.018512172212592,30.703420004944075,0.07419707146271623,10,10,5,0.6
linear svm (L),0.05022781692675773,0.05022781692675773,0.0,0.059802999417438836,0.2997250250708398,1.6733200530681511,2.6076809620810595,0.1118033988749895,24.47856204927079,30.703420004944075,0.07294332903234026,10,10,5,0.6
non-linear svm (L),0.037088876536684114,0.06483542205173737,0.09888840755133914,0.04516927534610591,0.04084963041769614,1.3038404810405297,2.6076809620810595,0.0,5.118593556827891,30.703420004944075,0.037649879827966394,10,10,5,0.6
logistic regression (L),0.054175198247407595,0.0881365632481746,0.08475357389799032,0.06422568072752695,0.05190902364108969,1.8708286933869707,2.6076809620810595,0.21969043877440111,6.016643582596529,30.703420004944075,0.04721680051195271,10,10,5,0.6
rule_based_prediction,,,,,,,,,,,,10,10,5,0.6
