,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,4.0,4.4,0.8666666666666668,67.8,95.2,0.695723635668084,10,10,5,0.6
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,4.2,4.4,0.9666666666666668,70.8,95.2,0.7315540441129188,10,10,5,0.6
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,4.2,4.4,0.9666666666666668,69.6,95.2,0.7160674320320123,10,10,5,0.6
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.815710944769303,3.4,4.4,0.7833333333333333,65.8,95.2,0.677642352618149,10,10,5,0.6
RuleFit Classifier (conti),0.7328358208955226,0.601978533557481,0.553471230599716,0.5719077287920719,0.7951160428050499,4.4,4.4,1.0,70.6,95.2,0.7291822399468562,10,10,5,0.6
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,3.6,4.4,0.8833333333333332,68.8,95.2,0.7150863739454418,10,10,5,0.6
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,4.2,4.4,0.9666666666666668,70.0,95.2,0.7217547290243744,10,10,5,0.6
linear svm (L),0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.4746460375679556,2.6,4.4,0.575,63.8,95.2,0.6596733122724381,10,10,5,0.6
non-linear svm (L),0.7253731343283583,0.5580733442802408,0.7763415007748958,0.6445306138649792,0.8260353791154893,2.2,4.4,0.5,11.2,95.2,0.11348290584382456,10,10,5,0.6
logistic regression (L),0.7671641791044777,0.7108309644460923,0.4960755347467387,0.5799185491346572,0.8240617287593924,3.0,4.4,0.6916666666666667,10.8,95.2,0.10977114710814237,10,10,5,0.6
rule_based_prediction,,,,,,,,,,,,10,10,5,0.6
