,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7761194029850746,0.7333333333333333,0.5,0.5945945945945945,0.8343434343434344,27,34,0.7941176470588235,526,603,0.8723051409618574,0,5,10,50,15,0
tree generator (disc),0.7761194029850746,0.675,0.6136363636363636,0.6428571428571429,0.8170454545454545,23,34,0.6764705882352942,516,603,0.8557213930348259,0,5,10,50,15,0
RuleFit Classifier (conti),0.746268656716418,0.631578947368421,0.5454545454545454,0.5853658536585366,0.7972222222222222,29,34,0.8529411764705882,532,603,0.8822553897180763,0,5,10,50,15,0
tree generator (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8347222222222223,28,34,0.8235294117647058,526,603,0.8723051409618574,0,5,10,50,15,0
linear svm (L),0.6791044776119403,0.5066666666666667,0.8636363636363636,0.638655462184874,0.7873737373737374,21,34,0.6176470588235294,185,603,0.3067993366500829,0,5,10,50,15,0
non-linear svm (L),0.7313432835820896,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.7952020202020201,26,34,0.7647058823529411,154,603,0.25538971807628524,0,5,10,50,15,0
logistic regression (L),0.7835820895522388,0.8,0.45454545454545453,0.5797101449275363,0.8098484848484848,23,34,0.6764705882352942,135,603,0.22388059701492538,0,5,10,50,15,0
linear svm,0.7686567164179104,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8095959595959595,30,34,0.8823529411764706,530,603,0.87893864013267,0,5,10,50,15,0
non-linear svm,0.8059701492537313,0.8214285714285714,0.5227272727272727,0.6388888888888888,0.8166666666666667,30,34,0.8823529411764706,537,603,0.8905472636815921,0,5,10,50,15,0
logistic regression,0.7761194029850746,0.71875,0.5227272727272727,0.6052631578947368,0.8214646464646465,30,34,0.8823529411764706,533,603,0.8839137645107794,0,5,10,50,15,0
rule_based_prediction,0.3283582089552239,0.3283582089552239,1.0,0.4943820224719101,0.5,19,34,0.5588235294117647,449,603,0.7446102819237148,0,5,10,50,15,0
