,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7611940298507462,0.7272727272727273,0.5106382978723404,0.5999999999999999,0.8041085840058694,19,29,0.6551724137931034,440,518,0.8494208494208494,4,5,10,1000,15,0
tree generator (disc),0.7388059701492538,0.6764705882352942,0.48936170212765956,0.5679012345679013,0.7429689410613841,19,29,0.6551724137931034,439,518,0.8474903474903475,4,5,10,1000,15,0
RuleFit Classifier (conti),0.7313432835820896,0.6486486486486487,0.5106382978723404,0.5714285714285715,0.817803864025434,26,29,0.896551724137931,451,518,0.8706563706563707,4,5,10,1000,15,0
tree generator (conti),0.7611940298507462,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8640254340914649,26,29,0.896551724137931,457,518,0.8822393822393823,4,5,10,1000,15,0
linear svm (L),0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.8373685497676693,16,29,0.5517241379310345,415,518,0.8011583011583011,4,5,10,1000,15,0
non-linear svm (L),0.7238805970149254,0.5892857142857143,0.7021276595744681,0.6407766990291263,0.8041085840058695,19,29,0.6551724137931034,139,518,0.26833976833976836,4,5,10,1000,15,0
logistic regression (L),0.6417910447761194,0.0,0.0,0.0,0.8412814869161164,12,29,0.41379310344827586,98,518,0.1891891891891892,4,5,10,1000,15,0
linear svm,0.7686567164179104,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.8684274883834678,26,29,0.896551724137931,449,518,0.8667953667953668,4,5,10,1000,15,0
non-linear svm,0.753731343283582,0.7692307692307693,0.425531914893617,0.547945205479452,0.8701393983859134,26,29,0.896551724137931,461,518,0.88996138996139,4,5,10,1000,15,0
logistic regression,0.7761194029850746,0.7741935483870968,0.5106382978723404,0.6153846153846153,0.871851308388359,26,29,0.896551724137931,455,518,0.8783783783783784,4,5,10,1000,15,0
rule_based_prediction,0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.5,16,29,0.5517241379310345,415,518,0.8011583011583011,4,5,10,1000,15,0
