,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8279397233201581,39,39,1.0,2346,2670,0.8786516853932584,2,5,10,10,15,0
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,39,39,1.0,2358,2670,0.8831460674157303,2,5,10,10,15,0
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,39,39,1.0,2271,2670,0.8505617977528089,2,5,10,10,15,0
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,39,39,1.0,2343,2670,0.8775280898876404,2,5,10,10,15,0
linear svm (L),0.3358208955223881,0.3383458646616541,0.9782608695652174,0.5027932960893855,0.25914031620553357,28,39,0.717948717948718,1408,2670,0.5273408239700375,2,5,10,10,15,0
non-linear svm (L),0.7164179104477612,0.5714285714285714,0.6956521739130435,0.6274509803921569,0.7964426877470355,38,39,0.9743589743589743,1178,2670,0.4411985018726592,2,5,10,10,15,0
logistic regression (L),0.7313432835820896,0.8571428571428571,0.2608695652173913,0.4,0.8233695652173912,39,39,1.0,1229,2670,0.4602996254681648,2,5,10,10,15,0
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,39,39,1.0,2314,2670,0.8666666666666667,2,5,10,10,15,0
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.824604743083004,39,39,1.0,2343,2670,0.8775280898876404,2,5,10,10,15,0
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,39,39,1.0,2330,2670,0.8726591760299626,2,5,10,10,15,0
rule_based_prediction,0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.5,19,39,0.48717948717948717,1399,2670,0.5239700374531835,2,5,10,10,15,0
