,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.7368547418967587,4,6,0.6666666666666666,73,116,0.6293103448275862,1,5,10,10,50,0.6
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,4,6,0.6666666666666666,73,116,0.6293103448275862,1,5,10,10,50,0.6
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,6,6,1.0,79,116,0.6810344827586207,1,5,10,10,50,0.6
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,5,6,0.8333333333333334,78,116,0.6724137931034483,1,5,10,10,50,0.6
linear svm (L),0.6194029850746269,0.4857142857142857,0.6938775510204082,0.5714285714285714,0.6645858343337334,5,6,0.8333333333333334,37,116,0.31896551724137934,1,5,10,10,50,0.6
non-linear svm (L),0.6791044776119403,0.5555555555555556,0.6122448979591837,0.5825242718446603,0.776470588235294,3,6,0.5,12,116,0.10344827586206896,1,5,10,10,50,0.6
logistic regression (L),0.7014925373134329,0.6551724137931034,0.3877551020408163,0.48717948717948717,0.7654261704681873,5,6,0.8333333333333334,15,116,0.12931034482758622,1,5,10,10,50,0.6
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,5,6,0.8333333333333334,79,116,0.6810344827586207,1,5,10,10,50,0.6
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.776950780312125,5,6,0.8333333333333334,79,116,0.6810344827586207,1,5,10,10,50,0.6
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,5,6,0.8333333333333334,79,116,0.6810344827586207,1,5,10,10,50,0.6
