,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7761194029850746,0.7333333333333333,0.5,0.5945945945945945,0.8353535353535353,15,18,0.8333333333333334,421,458,0.9192139737991266,0,5,10,10,15,0.2
tree generator (disc),0.7761194029850746,0.675,0.6136363636363636,0.6428571428571429,0.8170454545454545,14,18,0.7777777777777778,422,458,0.9213973799126638,0,5,10,10,15,0.2
RuleFit Classifier (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8101010101010101,16,18,0.8888888888888888,428,458,0.9344978165938864,0,5,10,10,15,0.2
tree generator (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8347222222222223,15,18,0.8333333333333334,424,458,0.925764192139738,0,5,10,10,15,0.2
linear svm (L),0.6865671641791045,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.7919191919191919,12,18,0.6666666666666666,109,458,0.23799126637554585,0,5,10,10,15,0.2
non-linear svm (L),0.6791044776119403,0.5079365079365079,0.7272727272727273,0.5981308411214953,0.7916666666666666,15,18,0.8333333333333334,128,458,0.2794759825327511,0,5,10,10,15,0.2
logistic regression (L),0.7985074626865671,0.8148148148148148,0.5,0.6197183098591549,0.7888888888888888,11,18,0.6111111111111112,51,458,0.11135371179039301,0,5,10,10,15,0.2
linear svm,0.7686567164179104,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8095959595959595,17,18,0.9444444444444444,425,458,0.9279475982532751,0,5,10,10,15,0.2
non-linear svm,0.8059701492537313,0.8214285714285714,0.5227272727272727,0.6388888888888888,0.8166666666666667,17,18,0.9444444444444444,428,458,0.9344978165938864,0,5,10,10,15,0.2
logistic regression,0.7761194029850746,0.71875,0.5227272727272727,0.6052631578947368,0.8214646464646465,17,18,0.9444444444444444,426,458,0.9301310043668122,0,5,10,10,15,0.2
rule_based_prediction,0.3283582089552239,0.3283582089552239,1.0,0.4943820224719101,0.5,12,18,0.6666666666666666,416,458,0.9082969432314411,0,5,10,10,15,0.2
