,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7611940298507462,0.7272727272727273,0.5106382978723404,0.5999999999999999,0.8045977011494253,8,12,0.6666666666666666,188,229,0.8209606986899564,4,5,10,10,15,0.4
tree generator (disc),0.7388059701492538,0.6764705882352942,0.48936170212765956,0.5679012345679013,0.7429689410613841,8,12,0.6666666666666666,189,229,0.8253275109170306,4,5,10,10,15,0.4
RuleFit Classifier (conti),0.7313432835820896,0.6486486486486487,0.5106382978723404,0.5714285714285715,0.817803864025434,12,12,1.0,197,229,0.8602620087336245,4,5,10,10,15,0.4
tree generator (conti),0.7611940298507462,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8640254340914649,12,12,1.0,200,229,0.8733624454148472,4,5,10,10,15,0.4
linear svm (L),0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.2342871117632673,7,12,0.5833333333333334,183,229,0.7991266375545851,4,5,10,10,15,0.4
non-linear svm (L),0.746268656716418,0.6,0.8297872340425532,0.6964285714285714,0.8581560283687943,8,12,0.6666666666666666,60,229,0.26200873362445415,4,5,10,10,15,0.4
logistic regression (L),0.7686567164179104,0.7857142857142857,0.46808510638297873,0.5866666666666668,0.8694057226705796,8,12,0.6666666666666666,42,229,0.18340611353711792,4,5,10,10,15,0.4
linear svm,0.7686567164179104,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.8684274883834678,12,12,1.0,196,229,0.8558951965065502,4,5,10,10,15,0.4
non-linear svm,0.753731343283582,0.7692307692307693,0.425531914893617,0.547945205479452,0.8701393983859134,12,12,1.0,203,229,0.8864628820960698,4,5,10,10,15,0.4
logistic regression,0.7761194029850746,0.7741935483870968,0.5106382978723404,0.6153846153846153,0.871851308388359,12,12,1.0,201,229,0.8777292576419214,4,5,10,10,15,0.4
rule_based_prediction,0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.5,7,12,0.5833333333333334,183,229,0.7991266375545851,4,5,10,10,15,0.4
