,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7611940298507462,0.7272727272727273,0.5106382978723404,0.5999999999999999,0.8045977011494253,10,17,0.5882352941176471,293,344,0.8517441860465116,4,5,10,10,15,0.2
tree generator (disc),0.7388059701492538,0.6764705882352942,0.48936170212765956,0.5679012345679013,0.7429689410613841,10,17,0.5882352941176471,294,344,0.8546511627906976,4,5,10,10,15,0.2
RuleFit Classifier (conti),0.7313432835820896,0.6486486486486487,0.5106382978723404,0.5714285714285715,0.817803864025434,15,17,0.8823529411764706,304,344,0.8837209302325582,4,5,10,10,15,0.2
tree generator (conti),0.7611940298507462,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8640254340914649,15,17,0.8823529411764706,307,344,0.8924418604651163,4,5,10,10,15,0.2
linear svm (L),0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.743702616776718,9,17,0.5294117647058824,288,344,0.8372093023255814,4,5,10,10,15,0.2
non-linear svm (L),0.746268656716418,0.6031746031746031,0.8085106382978723,0.6909090909090909,0.8640254340914648,9,17,0.5294117647058824,88,344,0.2558139534883721,4,5,10,10,15,0.2
logistic regression (L),0.7686567164179104,0.7857142857142857,0.46808510638297873,0.5866666666666668,0.8708730741012473,10,17,0.5882352941176471,56,344,0.16279069767441862,4,5,10,10,15,0.2
linear svm,0.7686567164179104,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.8684274883834678,15,17,0.8823529411764706,303,344,0.8808139534883721,4,5,10,10,15,0.2
non-linear svm,0.753731343283582,0.7692307692307693,0.425531914893617,0.547945205479452,0.8701393983859134,15,17,0.8823529411764706,311,344,0.9040697674418605,4,5,10,10,15,0.2
logistic regression,0.7761194029850746,0.7741935483870968,0.5106382978723404,0.6153846153846153,0.871851308388359,15,17,0.8823529411764706,308,344,0.8953488372093024,4,5,10,10,15,0.2
rule_based_prediction,0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.5,9,17,0.5294117647058824,288,344,0.8372093023255814,4,5,10,10,15,0.2
