,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.736374549819928,2,2,1.0,19,57,0.3333333333333333,1,5,10,10,15,0.5
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,2,2,1.0,13,57,0.22807017543859648,1,5,10,10,15,0.5
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,2,2,1.0,21,57,0.3684210526315789,1,5,10,10,15,0.5
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,2,2,1.0,20,57,0.3508771929824561,1,5,10,10,15,0.5
linear svm (L),0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.28403361344537814,0,2,0.0,0,57,0.0,1,5,10,10,15,0.5
non-linear svm (L),0.6716417910447762,0.5373134328358209,0.7346938775510204,0.6206896551724138,0.7596638655462185,1,2,0.5,7,57,0.12280701754385964,1,5,10,10,15,0.5
logistic regression (L),0.6865671641791045,0.6296296296296297,0.3469387755102041,0.4473684210526315,0.77046818727491,2,2,1.0,26,57,0.45614035087719296,1,5,10,10,15,0.5
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,2,2,1.0,21,57,0.3684210526315789,1,5,10,10,15,0.5
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,2,2,1.0,22,57,0.38596491228070173,1,5,10,10,15,0.5
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,2,2,1.0,21,57,0.3684210526315789,1,5,10,10,15,0.5
rule_based_prediction,0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.5,0,2,0.0,0,57,0.0,1,5,10,10,15,0.5
