,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.736374549819928,4,4,1.0,87,152,0.5723684210526315,1,5,10,10,15,0.4
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,4,4,1.0,61,152,0.40131578947368424,1,5,10,10,15,0.4
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,4,4,1.0,79,152,0.5197368421052632,1,5,10,10,15,0.4
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,4,4,1.0,83,152,0.5460526315789473,1,5,10,10,15,0.4
linear svm (L),0.3582089552238806,0.3609022556390977,0.9795918367346939,0.5274725274725275,0.3224489795918367,1,4,0.25,1,152,0.006578947368421052,1,5,10,10,15,0.4
non-linear svm (L),0.6716417910447762,0.5362318840579711,0.7551020408163265,0.6271186440677967,0.7615846338535414,3,4,0.75,39,152,0.2565789473684211,1,5,10,10,15,0.4
logistic regression (L),0.6865671641791045,0.6521739130434783,0.30612244897959184,0.4166666666666667,0.7709483793517407,4,4,1.0,104,152,0.6842105263157895,1,5,10,10,15,0.4
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,4,4,1.0,88,152,0.5789473684210527,1,5,10,10,15,0.4
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,4,4,1.0,90,152,0.5921052631578947,1,5,10,10,15,0.4
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,4,4,1.0,88,152,0.5789473684210527,1,5,10,10,15,0.4
rule_based_prediction,0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.5,0,4,0.0,0,152,0.0,1,5,10,10,15,0.4
