,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.736374549819928,44,44,1.0,2726,3142,0.867600254614895,1,5,10,10,15,0
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,44,44,1.0,2406,3142,0.7657542966263526,1,5,10,10,15,0
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,44,44,1.0,2545,3142,0.8099936346276257,1,5,10,10,15,0
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,44,44,1.0,2610,3142,0.8306810948440484,1,5,10,10,15,0
linear svm (L),0.6567164179104478,0.52,0.7959183673469388,0.6290322580645161,0.6941176470588235,43,44,0.9772727272727273,1323,3142,0.4210693825588797,1,5,10,10,15,0
non-linear svm (L),0.6567164179104478,0.5238095238095238,0.673469387755102,0.5892857142857143,0.7536614645858344,43,44,0.9772727272727273,1369,3142,0.43570973901973264,1,5,10,10,15,0
logistic regression (L),0.6791044776119403,0.65,0.2653061224489796,0.3768115942028986,0.7486194477791116,44,44,1.0,1547,3142,0.49236155315085933,1,5,10,10,15,0
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,44,44,1.0,2731,3142,0.869191597708466,1,5,10,10,15,0
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,44,44,1.0,2761,3142,0.8787396562698918,1,5,10,10,15,0
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,44,44,1.0,2739,3142,0.8717377466581795,1,5,10,10,15,0
rule_based_prediction,0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.5,19,44,0.4318181818181818,1436,3142,0.4570337364735837,1,5,10,10,15,0
