,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.736374549819928,13,13,1.0,511,665,0.7684210526315789,1,5,10,10,15,0.3
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,13,13,1.0,403,665,0.606015037593985,1,5,10,10,15,0.3
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,13,13,1.0,450,665,0.6766917293233082,1,5,10,10,15,0.3
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,13,13,1.0,472,665,0.7097744360902256,1,5,10,10,15,0.3
linear svm (L),0.5746268656716418,0.4444444444444444,0.6530612244897959,0.5289256198347106,0.6554621848739496,12,13,0.9230769230769231,263,665,0.3954887218045113,1,5,10,10,15,0.3
non-linear svm (L),0.6417910447761194,0.5084745762711864,0.6122448979591837,0.5555555555555556,0.7572629051620648,12,13,0.9230769230769231,315,665,0.47368421052631576,1,5,10,10,15,0.3
logistic regression (L),0.6791044776119403,0.8,0.16326530612244897,0.27118644067796605,0.7668667466986794,12,13,0.9230769230769231,491,665,0.7383458646616541,1,5,10,10,15,0.3
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,13,13,1.0,514,665,0.7729323308270677,1,5,10,10,15,0.3
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,13,13,1.0,523,665,0.7864661654135339,1,5,10,10,15,0.3
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,13,13,1.0,515,665,0.7744360902255639,1,5,10,10,15,0.3
rule_based_prediction,0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.5,2,13,0.15384615384615385,116,665,0.17443609022556392,1,5,10,10,15,0.3
