,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.736374549819928,28,28,1.0,1465,1771,0.8272162619988707,1,5,10,10,15,0.2
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,28,28,1.0,1251,1771,0.7063805759457933,1,5,10,10,15,0.2
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,28,28,1.0,1343,1771,0.7583286278938453,1,5,10,10,15,0.2
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,28,28,1.0,1386,1771,0.782608695652174,1,5,10,10,15,0.2
linear svm (L),0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.2900360144057623,10,28,0.35714285714285715,688,1771,0.38848108413325805,1,5,10,10,15,0.2
non-linear svm (L),0.6567164179104478,0.5272727272727272,0.5918367346938775,0.5576923076923076,0.7582232893157262,28,28,1.0,777,1771,0.43873517786561267,1,5,10,10,15,0.2
logistic regression (L),0.6791044776119403,0.6666666666666666,0.24489795918367346,0.35820895522388063,0.7565426170468187,28,28,1.0,957,1771,0.5403726708074534,1,5,10,10,15,0.2
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,28,28,1.0,1475,1771,0.8328627893845285,1,5,10,10,15,0.2
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,28,28,1.0,1492,1771,0.8424618859401468,1,5,10,10,15,0.2
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,28,28,1.0,1477,1771,0.83399209486166,1,5,10,10,15,0.2
rule_based_prediction,0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.5,10,28,0.35714285714285715,688,1771,0.38848108413325805,1,5,10,10,15,0.2
