,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,2.6,3.0,0.86,41.4,68.8,0.5206913550456599,10,10,1,0.8
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,2.8,3.0,0.96,44.4,68.8,0.57312682527259,10,10,1,0.8
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,2.8,3.0,0.96,43.2,68.8,0.5491547041942126,10,10,1,0.8
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.816098978584147,2.2,3.0,0.78,39.8,68.8,0.5000689943672245,10,10,1,0.8
RuleFit Classifier (conti),0.7328358208955226,0.601978533557481,0.553471230599716,0.5719077287920719,0.7951160428050499,3.0,3.0,1.0,44.4,68.8,0.5737545055844808,10,10,1,0.8
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,2.4,3.0,0.8800000000000001,42.8,68.8,0.5865443336588497,10,10,1,0.8
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,2.8,3.0,0.96,43.6,68.8,0.5671179039901719,10,10,1,0.8
linear svm (L),0.3776119402985075,0.3486704408989535,0.9739130434782609,0.5072568185605502,0.33535013401020414,1.6,3.0,0.6,38.0,68.8,0.48095274580188596,10,10,1,0.8
non-linear svm (L),0.7134328358208955,0.5415315064014244,0.7964595286436836,0.6399631572391097,0.8278562170237672,1.0,3.0,0.26,5.6,68.8,0.0578462352318815,10,10,1,0.8
logistic regression (L),0.7671641791044777,0.7108309644460923,0.4960755347467387,0.5799185491346572,0.8237661697368406,2.2,3.0,0.72,8.2,68.8,0.12095096732014013,10,10,1,0.8
rule_based_prediction,,,,,,,,,,,,10,10,1,0.8
