,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,2.6,3.0,0.86,41.4,68.8,0.5206913550456599,10,10,50,0.8
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,2.8,3.0,0.96,44.4,68.8,0.57312682527259,10,10,50,0.8
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,2.8,3.0,0.96,43.2,68.8,0.5491547041942126,10,10,50,0.8
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.816098978584147,2.2,3.0,0.78,39.8,68.8,0.5000689943672245,10,10,50,0.8
RuleFit Classifier (conti),0.7328358208955226,0.601978533557481,0.553471230599716,0.5719077287920719,0.7951160428050499,3.0,3.0,1.0,44.4,68.8,0.5737545055844808,10,10,50,0.8
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,2.4,3.0,0.8800000000000001,42.8,68.8,0.5865443336588497,10,10,50,0.8
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,2.8,3.0,0.96,43.6,68.8,0.5671179039901719,10,10,50,0.8
linear svm (L),0.5328358208955224,0.42135330233514007,0.9165700371057515,0.5699780022044207,0.5850947050549635,1.8,3.0,0.54,21.2,68.8,0.23144378756802073,10,10,50,0.8
non-linear svm (L),0.7164179104477613,0.5548249660786974,0.7242921030997548,0.6194615576253748,0.8264037670846542,1.0,3.0,0.26,5.2,68.8,0.055619820137541874,10,10,50,0.8
logistic regression (L),0.771641791044776,0.7301746943988323,0.4855702155978025,0.579358901911173,0.8263019908473386,2.0,3.0,0.6799999999999999,8.0,68.8,0.11895096732014013,10,10,50,0.8
rule_based_prediction,,,,,,,,,,,,10,10,50,0.8
