,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.736374549819928,33,37,0.8918918918918919,480,553,0.8679927667269439,1,5,10,10,15,0
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,28,37,0.7567567567567568,457,553,0.8264014466546112,1,5,10,10,15,0
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,36,37,0.972972972972973,485,553,0.8770343580470162,1,5,10,10,15,0
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,35,37,0.9459459459459459,487,553,0.8806509945750453,1,5,10,10,15,0
linear svm (L),0.6716417910447762,0.5396825396825397,0.6938775510204082,0.6071428571428572,0.7539015606242497,29,37,0.7837837837837838,143,553,0.2585895117540687,1,5,10,10,15,0
non-linear svm (L),0.664179104477612,0.532258064516129,0.673469387755102,0.5945945945945945,0.7723889555822329,27,37,0.7297297297297297,150,553,0.27124773960216997,1,5,10,10,15,0
logistic regression (L),0.7014925373134329,0.6666666666666666,0.3673469387755102,0.47368421052631576,0.7699879951980793,24,37,0.6486486486486487,86,553,0.15551537070524413,1,5,10,10,15,0
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,34,37,0.918918918918919,488,553,0.8824593128390597,1,5,10,10,15,0
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,34,37,0.918918918918919,488,553,0.8824593128390597,1,5,10,10,15,0
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,34,37,0.918918918918919,488,553,0.8824593128390597,1,5,10,10,15,0
rule_based_prediction,0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.5,23,37,0.6216216216216216,449,553,0.8119349005424955,1,5,10,10,15,0
