,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.736374549819928,15,18,0.8333333333333334,217,272,0.7977941176470589,1,5,10,10,15,0.2
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,15,18,0.8333333333333334,213,272,0.7830882352941176,1,5,10,10,15,0.2
RuleFit Classifier (conti),0.664179104477612,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.7394957983193278,18,18,1.0,225,272,0.8272058823529411,1,5,10,10,15,0.2
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,17,18,0.9444444444444444,227,272,0.8345588235294118,1,5,10,10,15,0.2
linear svm (L),0.6268656716417911,0.49295774647887325,0.7142857142857143,0.5833333333333334,0.7282112845138055,14,18,0.7777777777777778,74,272,0.27205882352941174,1,5,10,10,15,0.2
non-linear svm (L),0.6716417910447762,0.5396825396825397,0.6938775510204082,0.6071428571428572,0.7800720288115246,14,18,0.7777777777777778,63,272,0.23161764705882354,1,5,10,10,15,0.2
logistic regression (L),0.6865671641791045,0.6206896551724138,0.3673469387755102,0.4615384615384615,0.7642256902761104,11,18,0.6111111111111112,40,272,0.14705882352941177,1,5,10,10,15,0.2
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,17,18,0.9444444444444444,225,272,0.8272058823529411,1,5,10,10,15,0.2
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,17,18,0.9444444444444444,225,272,0.8272058823529411,1,5,10,10,15,0.2
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,17,18,0.9444444444444444,225,272,0.8272058823529411,1,5,10,10,15,0.2
rule_based_prediction,0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.5,12,18,0.6666666666666666,207,272,0.7610294117647058,1,5,10,10,15,0.2
