,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7761194029850746,0.7333333333333333,0.5,0.5945945945945945,0.8353535353535353,32,32,1.0,1619,1899,0.8525539757767245,0,5,10,10,15,0.2
tree generator (disc),0.7761194029850746,0.675,0.6136363636363636,0.6428571428571429,0.8170454545454545,32,32,1.0,1572,1899,0.8278041074249605,0,5,10,10,15,0.2
RuleFit Classifier (conti),0.746268656716418,0.631578947368421,0.5454545454545454,0.5853658536585366,0.7972222222222222,32,32,1.0,1579,1899,0.8314902580305424,0,5,10,10,15,0.2
tree generator (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8347222222222223,32,32,1.0,1583,1899,0.8335966298051606,0,5,10,10,15,0.2
linear svm (L),0.7014925373134329,0.527027027027027,0.8863636363636364,0.6610169491525423,0.803030303030303,31,32,0.96875,786,1899,0.41390205371248023,0,5,10,10,15,0.2
non-linear svm (L),0.7388059701492538,0.5957446808510638,0.6363636363636364,0.6153846153846154,0.7952020202020201,31,32,0.96875,837,1899,0.44075829383886256,0,5,10,10,15,0.2
logistic regression (L),0.7611940298507462,0.9285714285714286,0.29545454545454547,0.4482758620689656,0.8121212121212122,30,32,0.9375,865,1899,0.4555028962611901,0,5,10,10,15,0.2
linear svm,0.7686567164179104,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8095959595959595,32,32,1.0,1607,1899,0.8462348604528699,0,5,10,10,15,0.2
non-linear svm,0.8059701492537313,0.8214285714285714,0.5227272727272727,0.6388888888888888,0.8166666666666667,32,32,1.0,1649,1899,0.8683517640863613,0,5,10,10,15,0.2
logistic regression,0.7761194029850746,0.71875,0.5227272727272727,0.6052631578947368,0.8214646464646465,32,32,1.0,1635,1899,0.8609794628751974,0,5,10,10,15,0.2
rule_based_prediction,0.3283582089552239,0.3283582089552239,1.0,0.4943820224719101,0.5,15,32,0.46875,946,1899,0.49815692469720907,0,5,10,10,15,0.2
