,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7761194029850746,0.7333333333333333,0.5,0.5945945945945945,0.8353535353535353,48,48,1.0,2803,3208,0.8737531172069826,0,5,10,10,15,0
tree generator (disc),0.7761194029850746,0.675,0.6136363636363636,0.6428571428571429,0.8170454545454545,48,48,1.0,2720,3208,0.8478802992518704,0,5,10,10,15,0
RuleFit Classifier (conti),0.746268656716418,0.631578947368421,0.5454545454545454,0.5853658536585366,0.7972222222222222,48,48,1.0,2731,3208,0.8513092269326683,0,5,10,10,15,0
tree generator (conti),0.7761194029850746,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.8347222222222223,48,48,1.0,2743,3208,0.8550498753117207,0,5,10,10,15,0
linear svm (L),0.6940298507462687,0.5205479452054794,0.8636363636363636,0.6495726495726495,0.8040404040404041,47,48,0.9791666666666666,1380,3208,0.43017456359102246,0,5,10,10,15,0
non-linear svm (L),0.7238805970149254,0.5714285714285714,0.6363636363636364,0.6021505376344085,0.7707070707070707,47,48,0.9791666666666666,1425,3208,0.4442019950124688,0,5,10,10,15,0
logistic regression (L),0.7761194029850746,0.85,0.38636363636363635,0.53125,0.8131313131313131,47,48,0.9791666666666666,1392,3208,0.4339152119700748,0,5,10,10,15,0
linear svm,0.7686567164179104,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8095959595959595,48,48,1.0,2782,3208,0.8672069825436409,0,5,10,10,15,0
non-linear svm,0.8059701492537313,0.8214285714285714,0.5227272727272727,0.6388888888888888,0.8166666666666667,48,48,1.0,2847,3208,0.8874688279301746,0,5,10,10,15,0
logistic regression,0.7761194029850746,0.71875,0.5227272727272727,0.6052631578947368,0.8214646464646465,48,48,1.0,2821,3208,0.8793640897755611,0,5,10,10,15,0
rule_based_prediction,0.3283582089552239,0.3283582089552239,1.0,0.4943820224719101,0.5,24,48,0.5,1691,3208,0.5271197007481296,0,5,10,10,15,0
