,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8279397233201582,36,42,0.8571428571428571,636,699,0.9098712446351931,2,5,10,10,50,0
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,32,42,0.7619047619047619,626,699,0.8955650929899857,2,5,10,10,50,0
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,34,42,0.8095238095238095,624,699,0.8927038626609443,2,5,10,10,50,0
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,36,42,0.8571428571428571,639,699,0.9141630901287554,2,5,10,10,50,0
linear svm (L),0.5,0.38202247191011235,0.7391304347826086,0.5037037037037037,0.6054841897233201,39,42,0.9285714285714286,419,699,0.5994277539341917,2,5,10,10,50,0
non-linear svm (L),0.6791044776119403,0.5245901639344263,0.6956521739130435,0.5981308411214953,0.7979249011857708,30,42,0.7142857142857143,174,699,0.24892703862660945,2,5,10,10,50,0
logistic regression (L),0.7313432835820896,0.75,0.32608695652173914,0.45454545454545453,0.7989130434782609,21,42,0.5,93,699,0.13304721030042918,2,5,10,10,50,0
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,36,42,0.8571428571428571,633,699,0.9055793991416309,2,5,10,10,50,0
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.8246047430830039,37,42,0.8809523809523809,636,699,0.9098712446351931,2,5,10,10,50,0
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,36,42,0.8571428571428571,634,699,0.9070100143061517,2,5,10,10,50,0
rule_based_prediction,0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.5,24,42,0.5714285714285714,586,699,0.8383404864091559,2,5,10,10,50,0
