,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.050949915813214376,3.974921382870358,4.636809247747852,0.026306682088232836,237.89661620123982,288.773267460823,0.008854326875444893,10,10,15,0
tree generator (disc),0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,4.636809247747852,4.636809247747852,0.0,238.28596265831524,288.773267460823,0.04351391252370558,10,10,15,0
RuleFit Classifier (conti),0.040326137570466526,0.07650321449292066,0.064526972045359,0.03719415262004553,0.032516111599130475,4.636809247747852,4.636809247747852,0.0,229.38657327751332,288.773267460823,0.01954638305839413,10,10,15,0
tree generator (conti),0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,4.3817804600413295,4.636809247747852,0.008768894029410963,237.09976803025344,288.773267460823,0.019952304996676093,10,10,15,0
linear svm,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,3.974921382870358,4.636809247747852,0.026306682088232836,246.74338896918798,288.773267460823,0.002317214368387414,10,10,15,0
non-linear svm,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607772,4.636809247747852,4.636809247747852,0.0,286.6998430414638,288.773267460823,0.012450925036506213,10,10,15,0
logistic regression,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,4.636809247747852,4.636809247747852,0.0,258.4672126208661,288.773267460823,0.007232933668006838,10,10,15,0
linear svm (L),0.1591320577590777,0.08979749777387501,0.07314186817368365,0.07662037849039337,0.2412560252401271,8.74642784226795,4.636809247747852,0.1167508120768309,62.65620480048248,288.773267460823,0.04360075362865179,10,10,15,0
non-linear svm (L),0.08353543474003414,0.11049293933614038,0.12336212602185885,0.08392076551733091,0.043094397587570415,4.159326868617084,4.636809247747852,0.016359126013990324,142.8975157236822,288.773267460823,0.007641592365886094,10,10,15,0
logistic regression (L),0.06016610259924294,0.08742271241489477,0.08986974281158598,0.10218347999678312,0.05341984344579688,4.54972526643093,4.636809247747852,0.00931694990624918,167.02095676890372,288.773267460823,0.022782053826902425,10,10,15,0
rule_based_prediction,0.05022781692675773,0.05022781692675773,0.0,0.059802999417438836,0.0,2.1679483388678804,4.636809247747852,0.031385099034266874,143.63599827341335,288.773267460823,0.0285016363996632,10,10,15,0
