,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.050949915813214376,1.3038404810405297,2.16794833886788,0.16770509831248423,57.31666424348158,89.99555544581077,0.06720354671938482,10,10,15,0.4
tree generator (disc),0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,2.16794833886788,2.16794833886788,0.0,55.02453997990351,89.99555544581077,0.07381332236507773,10,10,15,0.4
RuleFit Classifier (conti),0.040326137570466526,0.07650321449292066,0.064526972045359,0.03719415262004553,0.032516111599130475,2.16794833886788,2.16794833886788,0.0,54.79963503528103,89.99555544581077,0.06761336351772487,10,10,15,0.4
tree generator (conti),0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,1.816590212458495,2.16794833886788,0.05590169943749474,62.65939674143057,89.99555544581077,0.08453274076932203,10,10,15,0.4
linear svm,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,1.3038404810405297,2.16794833886788,0.16770509831248423,60.91961917149516,89.99555544581077,0.08838385274332501,10,10,15,0.4
non-linear svm,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607772,2.16794833886788,2.16794833886788,0.0,72.29661126221616,89.99555544581077,0.10960609647265504,10,10,15,0.4
logistic regression,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,2.16794833886788,2.16794833886788,0.0,65.49580139215033,89.99555544581077,0.09776946189358529,10,10,15,0.4
linear svm (L),0.14358643366997118,0.06063133652731009,0.23490971623893403,0.09776485909947336,0.30865660667923334,2.8284271247461903,2.16794833886788,0.4022506128715723,52.86113884509111,89.99555544581077,0.19861358327478615,10,10,15,0.4
non-linear svm (L),0.04819069937600874,0.08148715919453763,0.10803857661664538,0.06337728705794823,0.043865174286421504,1.51657508881031,2.16794833886788,0.08333333333333338,37.685540993861295,89.99555544581077,0.05111855396560321,10,10,15,0.4
logistic regression (L),0.048650764217930235,0.0851140999876679,0.05265794877302761,0.05630918788266357,0.05218669606663127,2.16794833886788,2.16794833886788,0.0,73.62064927722385,89.99555544581077,0.08073481629711524,10,10,15,0.4
rule_based_prediction,0.05022781692675773,0.05022781692675773,0.0,0.059802999417438836,0.0,0.0,2.16794833886788,0.0,0.0,89.99555544581077,0.0,10,10,15,0.4
