,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.050949915813214376,0.4472135954999579,0.4472135954999579,0.4472135954999579,2.0,3.1144823004794873,0.06776604027899195,10,10,15,0.7
tree generator (disc),0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,0.4472135954999579,0.4472135954999579,0.0,3.1144823004794873,3.1144823004794873,0.12045562233593309,10,10,15,0.7
RuleFit Classifier (conti),0.040326137570466526,0.07650321449292066,0.064526972045359,0.03719415262004553,0.032516111599130475,0.4472135954999579,0.4472135954999579,0.0,1.9235384061671346,3.1144823004794873,0.07398687907663176,10,10,15,0.7
tree generator (conti),0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,0.0,0.4472135954999579,0.22360679774997896,2.3874672772626644,3.1144823004794873,0.08279294397101758,10,10,15,0.7
linear svm,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,0.4472135954999579,0.4472135954999579,0.4472135954999579,2.4083189157584592,3.1144823004794873,0.07969816285374622,10,10,15,0.7
non-linear svm,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607772,0.4472135954999579,0.4472135954999579,0.0,2.449489742783178,3.1144823004794873,0.08099220195188472,10,10,15,0.7
logistic regression,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,0.4472135954999579,0.4472135954999579,0.0,2.8809720581775866,3.1144823004794873,0.09824688729963434,10,10,15,0.7
linear svm (L),0.1889696063942257,0.12447859420401593,0.15036290056690557,0.08763535997850413,0.2911597760879479,0.447213595499958,0.4472135954999579,0.447213595499958,2.6832815729997477,3.1144823004794873,0.10320313742306722,10,10,15,0.7
non-linear svm (L),0.03362352336139946,0.07591921759705766,0.10292258488715562,0.04492643240784123,0.04060137360475876,0.0,0.4472135954999579,0.0,0.0,3.1144823004794873,0.0,10,10,15,0.7
logistic regression (L),0.05396920815452105,0.08645814795142413,0.0857037382209517,0.06291616298591739,0.05344321172210641,0.4472135954999579,0.4472135954999579,0.0,2.2803508501982757,3.1144823004794873,0.08042729973610024,10,10,15,0.7
rule_based_prediction,0.05022781692675773,0.05022781692675773,0.0,0.059802999417438836,0.0,0.0,0.4472135954999579,0.0,0.0,3.1144823004794873,0.0,10,10,15,0.7
