,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8161293326229959,1.0,1.6,0.8,5.2,38.8,0.11624914038707143,10,10,15,0.6
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,1.6,1.6,1.0,7.4,38.8,0.21043804887725032,10,10,15,0.6
RuleFit Classifier (conti),0.7328358208955226,0.601978533557481,0.5472212305997161,0.5695053263896696,0.7944420231972067,1.6,1.6,1.0,9.8,38.8,0.24208439271960147,10,10,15,0.6
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,1.4,1.6,0.9333333333333332,8.2,38.8,0.20769957474131706,10,10,15,0.6
linear svm (L),0.5388059701492537,0.4236201556182806,0.9503022243713733,0.5818937812049376,0.6007463306414438,0.6,1.6,0.3333333333333333,0.6,38.8,0.014965034965034965,10,10,15,0.6
non-linear svm (L),0.7149253731343284,0.5471573778974957,0.7491622780219648,0.6291466024612091,0.8221160712532262,0.4,1.6,0.3,1.6,38.8,0.03145795523290986,10,10,15,0.6
logistic regression (L),0.7656716417910447,0.7085658815497524,0.4982439020936774,0.5797225483800826,0.8237182828271242,1.4,1.6,0.9333333333333332,8.4,38.8,0.2033521308294448,10,10,15,0.6
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,1.0,1.6,0.8,5.6,38.8,0.12377753992999004,10,10,15,0.6
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,1.6,1.6,1.0,10.0,38.8,0.24292099646001644,10,10,15,0.6
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,1.6,1.6,1.0,8.0,38.8,0.191541831832213,10,10,15,0.6
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,0.0,1.6,0.0,0.0,38.8,0.0,10,10,15,0.6
