,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.7358943577430973,34,38,0.8947368421052632,481,554,0.868231046931408,1,5,10,10,1,0
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,29,38,0.7631578947368421,458,554,0.8267148014440433,1,5,10,10,1,0
RuleFit Classifier (conti),0.7014925373134329,0.6097560975609756,0.5102040816326531,0.5555555555555556,0.7282112845138055,37,38,0.9736842105263158,489,554,0.8826714801444043,1,5,10,10,1,0
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,36,38,0.9473684210526315,488,554,0.8808664259927798,1,5,10,10,1,0
linear svm (L),0.6716417910447762,0.543859649122807,0.6326530612244898,0.5849056603773586,0.7486194477791116,29,38,0.7631578947368421,127,554,0.2292418772563177,1,5,10,10,1,0
non-linear svm (L),0.6865671641791045,0.5538461538461539,0.7346938775510204,0.631578947368421,0.7795918367346939,28,38,0.7368421052631579,158,554,0.2851985559566787,1,5,10,10,1,0
logistic regression (L),0.6791044776119403,0.6,0.3673469387755102,0.45569620253164556,0.7661464585834334,25,38,0.6578947368421053,90,554,0.1624548736462094,1,5,10,10,1,0
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,35,38,0.9210526315789473,489,554,0.8826714801444043,1,5,10,10,1,0
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.776950780312125,35,38,0.9210526315789473,489,554,0.8826714801444043,1,5,10,10,1,0
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,35,38,0.9210526315789473,489,554,0.8826714801444043,1,5,10,10,1,0
rule_based_prediction,0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.5,24,38,0.631578947368421,450,554,0.8122743682310469,1,5,10,10,1,0
