,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7313432835820896,0.7096774193548387,0.4489795918367347,0.5499999999999999,0.7358943577430973,34,38,0.8947368421052632,481,554,0.868231046931408,1,5,10,10,100,0
tree generator (disc),0.6567164179104478,0.5294117647058824,0.5510204081632653,0.54,0.7020408163265306,29,38,0.7631578947368421,458,554,0.8267148014440433,1,5,10,10,100,0
RuleFit Classifier (conti),0.7014925373134329,0.6097560975609756,0.5102040816326531,0.5555555555555556,0.7282112845138055,37,38,0.9736842105263158,489,554,0.8826714801444043,1,5,10,10,100,0
tree generator (conti),0.7388059701492538,0.675,0.5510204081632653,0.6067415730337078,0.7651860744297718,36,38,0.9473684210526315,488,554,0.8808664259927798,1,5,10,10,100,0
linear svm (L),0.3208955223880597,0.32786885245901637,0.8163265306122449,0.4678362573099415,0.2672268907563025,28,38,0.7368421052631579,469,554,0.8465703971119134,1,5,10,10,100,0
non-linear svm (L),0.6716417910447762,0.543859649122807,0.6326530612244898,0.5849056603773586,0.7716686674669868,28,38,0.7368421052631579,135,554,0.24368231046931407,1,5,10,10,100,0
logistic regression (L),0.6716417910447762,0.6923076923076923,0.1836734693877551,0.2903225806451613,0.773109243697479,21,38,0.5526315789473685,90,554,0.1624548736462094,1,5,10,10,100,0
linear svm,0.7089552238805971,0.6470588235294118,0.4489795918367347,0.5301204819277109,0.7860744297719087,35,38,0.9210526315789473,489,554,0.8826714801444043,1,5,10,10,100,0
non-linear svm,0.7164179104477612,0.6774193548387096,0.42857142857142855,0.525,0.7769507803121247,35,38,0.9210526315789473,489,554,0.8826714801444043,1,5,10,10,100,0
logistic regression,0.7164179104477612,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.7815126050420168,35,38,0.9210526315789473,489,554,0.8826714801444043,1,5,10,10,100,0
rule_based_prediction,0.3656716417910448,0.3656716417910448,1.0,0.53551912568306,0.5,24,38,0.631578947368421,450,554,0.8122743682310469,1,5,10,10,100,0
