,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.8507462686567164,0.7142857142857143,0.625,0.6666666666666666,0.8754595588235294,31,38,0.8157894736842105,510,582,0.8762886597938144,3,5,10,10,15,0
tree generator (disc),0.7761194029850746,0.525,0.65625,0.5833333333333334,0.8125,32,38,0.8421052631578947,501,582,0.8608247422680413,3,5,10,10,15,0
RuleFit Classifier (conti),0.7611940298507462,0.5,0.625,0.5555555555555556,0.8155637254901961,34,38,0.8947368421052632,510,582,0.8762886597938144,3,5,10,10,15,0
tree generator (conti),0.835820895522388,0.6470588235294118,0.6875,0.6666666666666667,0.8613664215686274,33,38,0.868421052631579,510,582,0.8762886597938144,3,5,10,10,15,0
linear svm (L),0.6865671641791045,0.4264705882352941,0.90625,0.58,0.8299632352941176,19,38,0.5,153,582,0.26288659793814434,3,5,10,10,15,0
non-linear svm (L),0.7910447761194029,0.5370370370370371,0.90625,0.6744186046511628,0.8756127450980392,19,38,0.5,117,582,0.20103092783505155,3,5,10,10,15,0
logistic regression (L),0.835820895522388,0.6923076923076923,0.5625,0.6206896551724138,0.8897058823529411,14,38,0.3684210526315789,76,582,0.13058419243986255,3,5,10,10,15,0
linear svm,0.8582089552238806,0.7096774193548387,0.6875,0.6984126984126984,0.8985906862745099,32,38,0.8421052631578947,509,582,0.8745704467353952,3,5,10,10,15,0
non-linear svm,0.835820895522388,0.7272727272727273,0.5,0.5925925925925926,0.9019607843137255,36,38,0.9473684210526315,526,582,0.9037800687285223,3,5,10,10,15,0
logistic regression,0.8432835820895522,0.6896551724137931,0.625,0.6557377049180328,0.9031862745098039,33,38,0.868421052631579,512,582,0.8797250859106529,3,5,10,10,15,0
rule_based_prediction,0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.5,24,38,0.631578947368421,471,582,0.8092783505154639,3,5,10,10,15,0
