,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
1,'Glucose_High','Outcome',0.19402985074626866,0.31902985074626866,0.13805970149253732,0.7115384615384616,2.230319388214125,0.07615838716863445,2.3606965174129355,0.6844344344344344
157,"'SkinThickness_Low', 'Pregnancies_Low'",'BMI_Low',0.2798507462686567,0.3246268656716418,0.166044776119403,0.5933333333333334,1.8277394636015327,0.07519770550233906,1.6607536090041597,0.6288641788438029
160,'BMI_Low',"'SkinThickness_Low', 'Pregnancies_Low'",0.3246268656716418,0.2798507462686567,0.166044776119403,0.5114942528735632,1.8277394636015327,0.07519770550233906,1.4741878841088674,0.6705568315848285
294,"'SkinThickness_Low', 'Age_Low'",'BMI_Low',0.2891791044776119,0.3246268656716418,0.17350746268656717,0.6000000000000001,1.8482758620689659,0.07963215638226778,1.688432835820896,0.6456692913385829
297,'BMI_Low',"'SkinThickness_Low', 'Age_Low'",0.3246268656716418,0.2891791044776119,0.17350746268656717,0.5344827586206897,1.8482758620689659,0.07963215638226778,1.5269485903814264,0.6795580110497239
347,"'SkinThickness_Low', 'Glucose_Medium', 'Pregnancies_Low'",'BMI_Low',0.18470149253731344,0.3246268656716418,0.11380597014925373,0.6161616161616161,1.8980610704748635,0.05384690354199153,1.7595247446975646,0.5803353715721948
351,"'Glucose_Medium', 'BMI_Low'","'SkinThickness_Low', 'Pregnancies_Low'",0.21455223880597016,0.2798507462686567,0.11380597014925373,0.5304347826086956,1.8954202898550725,0.053763366005791936,1.5336511885019346,0.6014563295821814
454,"'SkinThickness_Low', 'DiabetesPedigreeFunction_Low', 'Pregnancies_Low'",'BMI_Low',0.17537313432835822,0.3246268656716418,0.11194029850746269,0.6382978723404256,1.9662509170946443,0.05500946758743596,1.8672080772607553,0.5959276018099549
458,"'DiabetesPedigreeFunction_Low', 'BMI_Low'","'SkinThickness_Low', 'Pregnancies_Low'",0.2126865671641791,0.2798507462686567,0.11194029850746269,0.5263157894736842,1.880701754385965,0.052419803965248396,1.5203150912106136,0.59478672985782
459,"'SkinThickness_Low', 'Pregnancies_Low', 'Age_Low'",'BMI_Low',0.23694029850746268,0.3246268656716418,0.1455223880597015,0.6141732283464567,1.8919359218028782,0.06860520160392071,1.7504568991775815,0.6178296031596766
463,"'SkinThickness_Low', 'Pregnancies_Low'","'Age_Low', 'BMI_Low'",0.2798507462686567,0.24253731343283583,0.1455223880597015,0.52,2.144,0.0776481398975273,1.578047263681592,0.7409326424870466
464,"'SkinThickness_Low', 'Age_Low'","'Pregnancies_Low', 'BMI_Low'",0.2891791044776119,0.22761194029850745,0.1455223880597015,0.503225806451613,2.210893707033316,0.07970177099576745,1.5548071331653421,0.7705094555488258
466,"'Pregnancies_Low', 'BMI_Low'","'SkinThickness_Low', 'Age_Low'",0.22761194029850745,0.2891791044776119,0.1455223880597015,0.639344262295082,2.210893707033316,0.07970177099576745,1.970912483039349,0.7090920351789919
467,"'Age_Low', 'BMI_Low'","'SkinThickness_Low', 'Pregnancies_Low'",0.24253731343283583,0.2798507462686567,0.1455223880597015,0.6,2.144,0.0776481398975273,1.8003731343283582,0.7044334975369458
537,"'SkinThickness_Low', 'Glucose_Medium', 'Age_Low'",'BMI_Low',0.1865671641791045,0.3246268656716418,0.11567164179104478,0.62,1.9098850574712645,0.055106928046335484,1.777297721916732,0.5856762355726546
542,"'Glucose_Medium', 'BMI_Low'","'SkinThickness_Low', 'Age_Low'",0.21455223880597016,0.2891791044776119,0.11567164179104478,0.5391304347826087,1.8643478260869566,0.05362761750946759,1.5423472261334834,0.5902612826603325
584,"'SkinThickness_Low', 'DiabetesPedigreeFunction_Low', 'Age_Low'",'BMI_Low',0.1791044776119403,0.3246268656716418,0.11380597014925373,0.6354166666666666,1.957375478927203,0.05566384495433281,1.8524520255863537,0.5958271236959761
588,"'DiabetesPedigreeFunction_Low', 'BMI_Low'","'SkinThickness_Low', 'Age_Low'",0.2126865671641791,0.2891791044776119,0.11380597014925373,0.5350877192982456,1.8503678551216753,0.05230145912229895,1.5289355111236271,0.5837153290342632
625,"'BloodPressure_Medium', 'Pregnancies_Low', 'SkinThickness_Medium'","'BMI_Medium', 'Age_Low'",0.1958955223880597,0.35074626865671643,0.125,0.638095238095238,1.8192502532928063,0.056290376475829795,1.7939905734485464,0.5600304740797173
