,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.8507462686567164,0.7142857142857143,0.625,0.6666666666666666,0.8769914215686274,33,39,0.8461538461538461,519,591,0.8781725888324873,3,5,10,1000,15,0
tree generator (disc),0.7761194029850746,0.525,0.65625,0.5833333333333334,0.8125,33,39,0.8461538461538461,510,591,0.8629441624365483,3,5,10,1000,15,0
RuleFit Classifier (conti),0.7611940298507462,0.5,0.65625,0.5675675675675675,0.8189338235294117,35,39,0.8974358974358975,515,591,0.871404399323181,3,5,10,1000,15,0
tree generator (conti),0.835820895522388,0.6470588235294118,0.6875,0.6666666666666667,0.8613664215686274,35,39,0.8974358974358975,519,591,0.8781725888324873,3,5,10,1000,15,0
linear svm (L),0.6865671641791045,0.4305555555555556,0.96875,0.5961538461538461,0.865502450980392,23,39,0.5897435897435898,170,591,0.2876480541455161,3,5,10,1000,15,0
non-linear svm (L),0.6268656716417911,0.3875,0.96875,0.5535714285714286,0.8278186274509804,23,39,0.5897435897435898,208,591,0.35194585448392557,3,5,10,1000,15,0
logistic regression (L),0.7910447761194029,0.7,0.21875,0.3333333333333333,0.8272058823529411,21,39,0.5384615384615384,101,591,0.17089678510998307,3,5,10,1000,15,0
linear svm,0.8582089552238806,0.7096774193548387,0.6875,0.6984126984126984,0.8985906862745099,34,39,0.8717948717948718,518,591,0.8764805414551607,3,5,10,1000,15,0
non-linear svm,0.835820895522388,0.7272727272727273,0.5,0.5925925925925926,0.9019607843137255,38,39,0.9743589743589743,535,591,0.9052453468697124,3,5,10,1000,15,0
logistic regression,0.8432835820895522,0.6896551724137931,0.625,0.6557377049180328,0.9031862745098039,35,39,0.8974358974358975,521,591,0.8815566835871405,3,5,10,1000,15,0
rule_based_prediction,0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.5,25,39,0.6410256410256411,479,591,0.8104906937394247,3,5,10,1000,15,0
