,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,31.4,36.0,0.8746524361449097,521.0,590.6,0.8810405581785471,10,10,15,0
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,32.4,36.0,0.9004669724857617,528.8,590.6,0.8946982440578948,10,10,15,0
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,31.6,36.0,0.8799155940396467,523.6,590.6,0.8856700572517339,10,10,15,0
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8159944208079397,29.0,36.0,0.7980609519522727,517.6,590.6,0.874550120396475,10,10,15,0
RuleFit Classifier (conti),0.7388059701492538,0.6125048493469546,0.5563121396906252,0.5792614239506452,0.7970177807729643,31.6,36.0,0.8805834002802083,519.4,590.6,0.878731127324105,10,10,15,0
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,26.8,36.0,0.7384819567695622,507.6,590.6,0.8574276145839699,10,10,15,0
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,31.4,36.0,0.873556293562699,523.0,590.6,0.884506304667535,10,10,15,0
linear svm (L),0.5417910447761194,0.4347681616184178,0.8561032160320187,0.5590858573630528,0.5623318270740352,23.4,36.0,0.6514442869412443,293.8,590.6,0.47415256080796586,10,10,15,0
non-linear svm (L),0.7179104477611941,0.5475206649645126,0.761835728530753,0.6354316104898737,0.8218745882473308,23.8,36.0,0.6589856445840219,150.8,590.6,0.25613093574595674,10,10,15,0
logistic regression (L),0.7701492537313432,0.7324116743471583,0.4708907568577848,0.5702081064730793,0.8266147184864916,19.6,36.0,0.5490528854893112,95.4,590.6,0.16221813646490763,10,10,15,0
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,21.2,36.0,0.5870353615522828,474.0,590.6,0.8015455777318689,10,10,15,0
