,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,1.8,2.0,0.9,24.4,50.4,0.44356101786405827,10,10,15,1
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,2.0,2.0,1.0,27.4,50.4,0.5075258998556943,10,10,15,1
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,2.0,2.0,1.0,26.2,50.4,0.48163221014986596,10,10,15,1
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8159944208079397,1.6,2.0,0.8333333333333333,23.2,50.4,0.4213251790841019,10,10,15,1
RuleFit Classifier (conti),0.7388059701492538,0.6125048493469546,0.5563121396906252,0.5792614239506452,0.7970177807729643,2.0,2.0,1.0,27.0,50.4,0.4957551023554075,10,10,15,1
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,1.8,2.0,0.9333333333333332,26.2,50.4,0.5097220870031782,10,10,15,1
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,2.0,2.0,1.0,26.6,50.4,0.49641800019687893,10,10,15,1
linear svm (L),0.46716417910447766,0.3831731752197915,0.9352272727272727,0.5389077363880371,0.4704360998979265,1.2,2.0,0.5666666666666667,13.0,50.4,0.233329499873435,10,10,15,1
non-linear svm (L),0.717910447761194,0.5470627458927076,0.7640151872707708,0.635690389138665,0.8269374899160692,0.8,2.0,0.36666666666666664,1.2,50.4,0.02175926602021146,10,10,15,1
logistic regression (L),0.7686567164179106,0.7164959890766343,0.4960755347467387,0.5815325842223765,0.8245213540556158,1.2,2.0,0.6333333333333333,5.4,50.4,0.11835872341323155,10,10,15,1
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,0.8,2.0,0.36666666666666664,21.2,50.4,0.38142615660961504,10,10,15,1
