,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,4.0,4.4,0.8666666666666668,67.8,95.2,0.695723635668084,10,10,15,0.6
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,4.2,4.4,0.9666666666666668,70.8,95.2,0.7315540441129188,10,10,15,0.6
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,4.2,4.4,0.9666666666666668,69.6,95.2,0.7160674320320123,10,10,15,0.6
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8159944208079397,3.4,4.4,0.7833333333333333,65.8,95.2,0.677642352618149,10,10,15,0.6
RuleFit Classifier (conti),0.7388059701492538,0.6125048493469546,0.5563121396906252,0.5792614239506452,0.7970177807729643,4.4,4.4,1.0,70.4,95.2,0.727427853981944,10,10,15,0.6
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,3.6,4.4,0.8833333333333332,68.8,95.2,0.7150863739454418,10,10,15,0.6
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,4.2,4.4,0.9666666666666668,70.0,95.2,0.7217547290243744,10,10,15,0.6
linear svm (L),0.41044776119402987,0.3532039736087988,0.9625,0.5158719961795768,0.5546381554689507,2.8,4.4,0.675,59.0,95.2,0.5770737315596499,10,10,15,0.6
non-linear svm (L),0.7253731343283581,0.561530787661409,0.7380207376870519,0.6339109405171112,0.8267881794777925,2.4,4.4,0.55,11.0,95.2,0.1046199465588196,10,10,15,0.6
logistic regression (L),0.7686567164179106,0.7164959890766343,0.4960755347467387,0.5815325842223765,0.8253587085504999,2.8,4.4,0.6666666666666667,10.6,95.2,0.1081182545461589,10,10,15,0.6
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,2.6,4.4,0.575,63.8,95.2,0.6596733122724381,10,10,15,0.6
